,cardname,text,cmc,type
3157,Lavabelly Sliver,"Sliver creatures you control have ""When this creature enters the battlefield, it deals 1 damage to target player or planeswalker and you gain 1 life.""",3.0,Creature — Sliver
3158,Furious Reprisal,Furious Reprisal deals 2 damage to each of two targets.,4.0,Sorcery
3159,Delirium Skeins,Each player discards three cards.,3.0,Sorcery
3160,Lost Order of Jarkeld,"As Lost Order of Jarkeld enters the battlefield, choose an opponent.
Lost Order of Jarkeld's power and toughness are each equal to 1 plus the number of creatures the chosen player controls.",4.0,Creature — Human Knight
3161,Conduit Pylons,"When Conduit Pylons enters the battlefield, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{T}: Add {C}.
{1}, {T}: Add one mana of any color.",0.0,Land — Desert
3162,Greenwarden of Murasa,"When Greenwarden of Murasa enters the battlefield, you may return target card from your graveyard to your hand.
When Greenwarden of Murasa dies, you may exile it. If you do, return target card from your graveyard to your hand.",6.0,Creature — Elemental
3163,Gutterbones,"Gutterbones enters the battlefield tapped.
{1}{B}: Return Gutterbones from your graveyard to your hand. Activate only during your turn and only if an opponent lost life this turn.",1.0,Creature — Skeleton Warrior
3164,Khenra Charioteer,"Trample
Other creatures you control have trample.",3.0,Creature — Jackal Warrior
3165,Patron of the Vein,"Flying
When Patron of the Vein enters the battlefield, destroy target creature an opponent controls.
Whenever a creature an opponent controls dies, exile it and put a +1/+1 counter on each Vampire you control.",6.0,Creature — Vampire Shaman
3166,Devout Chaplain,"{T}, Tap two untapped Humans you control: Exile target artifact or enchantment.",3.0,Creature — Human Cleric
3167,Shimmer Dragon,"Flying
As long as you control four or more artifacts, Shimmer Dragon has hexproof.
Tap two untapped artifacts you control: Draw a card.",6.0,Creature — Dragon
3168,Dragon Blood,"{3}, {T}: Put a +1/+1 counter on target creature.",3.0,Artifact
3169,Guild Thief,"Whenever Guild Thief deals combat damage to a player, put a +1/+1 counter on it.
Cunning Action — {3}{U}: Guild Thief can't be blocked this turn.",2.0,Creature — Orc Rogue
3170,Futurist Sentinel,Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.),4.0,Artifact — Vehicle
3171,Alley Assailant,"Alley Assailant enters the battlefield tapped.
Disguise {4}{B}{B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When Alley Assailant is turned face up, target opponent loses 3 life and you gain 3 life.",3.0,Creature — Vampire Rogue
3172,"Kemba, Kha Enduring","Whenever Kemba, Kha Enduring or another Cat enters the battlefield under your control, attach up to one target Equipment you control to that creature.
Equipped creatures you control get +1/+1.
{3}{W}{W}: Create a 2/2 white Cat creature token.",2.0,Legendary Creature — Cat Cleric
3173,Mirran Spy,"Flying
Whenever you cast an artifact spell, you may untap target creature.",3.0,Creature — Drone
3174,Agent of the Fates,"Deathtouch
Heroic — Whenever you cast a spell that targets Agent of the Fates, each opponent sacrifices a creature.",3.0,Creature — Human Assassin
3175,Cephalid Coliseum,"{T}: Add {U}. Cephalid Coliseum deals 1 damage to you.
Threshold — {U}, {T}, Sacrifice Cephalid Coliseum: Target player draws three cards, then discards three cards. Activate only if seven or more cards are in your graveyard.",0.0,Land
3176,Lifespring Druid,{T}: Add one mana of any color.,3.0,Creature — Elf Druid
3177,Svyelunite Temple,"Svyelunite Temple enters the battlefield tapped.
{T}: Add {U}.
{T}, Sacrifice Svyelunite Temple: Add {U}{U}.",0.0,Land
3178,Scouring Sands,Scouring Sands deals 1 damage to each creature your opponents control. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),2.0,Sorcery
3179,Ana Disciple,"{U}, {T}: Target creature gains flying until end of turn.
{B}, {T}: Target creature gets -2/-0 until end of turn.",1.0,Creature — Human Wizard
3180,Elspeth's Talent,"Enchant planeswalker
Enchanted planeswalker has ""[+1]: Create three 1/1 white Soldier creature tokens.""
Whenever you activate a loyalty ability of enchanted planeswalker, creatures you control get +2/+2 and gain vigilance until end of turn.",4.0,Enchantment — Aura
3181,"Shirei, Shizo's Caretaker","Whenever a creature with power 1 or less is put into your graveyard from the battlefield, you may return that card to the battlefield at the beginning of the next end step if Shirei, Shizo's Caretaker is still on the battlefield.",5.0,Legendary Creature — Spirit
3182,Faithbearer Paladin,Lifelink (Damage dealt by this creature also causes you to gain that much life.),5.0,Creature — Human Knight
3183,Polluted Delta,"{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.",0.0,Land
3184,Gurgling Anointer,"Flying
Whenever you draw your second card each turn, put a +1/+1 counter on Gurgling Anointer.
When Gurgling Anointer dies, return another target creature card with mana value less than or equal to Gurgling Anointer's power from your graveyard to the battlefield.",3.0,Creature — Phyrexian Horror
3185,Catalyst Stone,"Flashback costs you pay cost up to {2} less.
Flashback costs your opponents pay cost {2} more.",2.0,Artifact
3186,Gempalm Avenger,"Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.)
When you cycle Gempalm Avenger, Soldier creatures get +1/+1 and gain first strike until end of turn.",6.0,Creature — Human Soldier
3187,Merfolk Coralsmith,"{1}: Merfolk Coralsmith gets +1/-1 until end of turn.
When Merfolk Coralsmith dies, scry 2.",3.0,Creature — Merfolk
3188,Sandstone Oracle,"Flying
When Sandstone Oracle enters the battlefield, choose an opponent. If that player has more cards in hand than you, draw cards equal to the difference.",7.0,Artifact Creature — Sphinx
3189,"Teferi, Mage of Zhalfir","Flash
Creature cards you own that aren't on the battlefield have flash.
Each opponent can cast spells only any time they could cast a sorcery.",5.0,Legendary Creature — Human Wizard
3190,Ravenous Baloth,Sacrifice a Beast: You gain 4 life.,4.0,Creature — Beast
3191,Mirkwood Bats,"Flying
Whenever you create or sacrifice a token, each opponent loses 1 life.",4.0,Creature — Bat
3192,Lash of Thorns,Target creature gets +2/+1 and gains deathtouch until end of turn.,1.0,Instant
3193,Dragonloft Idol,"As long as you control a Dragon, Dragonloft Idol gets +1/+1 and has flying and trample.",4.0,Artifact Creature — Gargoyle
3194,Arena Athlete,"Heroic — Whenever you cast a spell that targets Arena Athlete, target creature an opponent controls can't block this turn.",2.0,Creature — Human
3195,Inspiring Unicorn,"Whenever Inspiring Unicorn attacks, creatures you control get +1/+1 until end of turn.",4.0,Creature — Unicorn
3196,Necropolis,"Defender (This creature can't attack.)
Exile a creature card from your graveyard: Put X +0/+1 counters on Necropolis, where X is the exiled card's mana value.",5.0,Artifact Creature — Wall
3197,Baton of Courage,"Flash
Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)
Remove a charge counter from Baton of Courage: Target creature gets +1/+1 until end of turn.",3.0,Artifact
3198,Dawnhart Mentor,"When Dawnhart Mentor enters the battlefield, create a 1/1 white Human creature token.
Coven — {5}{G}: Target creature you control gets +3/+3 and gains trample until end of turn. Activate only if you control three or more creatures with different powers.",3.0,Creature — Human Warlock
3199,Mage-Ring Network,"{T}: Add {C}.
{1}, {T}: Put a storage counter on Mage-Ring Network.
{T}, Remove any number of storage counters from Mage-Ring Network: Add {C} for each storage counter removed this way.",0.0,Land
3200,Magma Opus,"Magma Opus deals 4 damage divided as you choose among any number of targets. Tap two target permanents. Create a 4/4 blue and red Elemental creature token. Draw two cards.
{U/R}{U/R}, Discard Magma Opus: Create a Treasure token.",8.0,Instant
3201,Spike Soldier,"Spike Soldier enters the battlefield with three +1/+1 counters on it.
{2}, Remove a +1/+1 counter from Spike Soldier: Put a +1/+1 counter on target creature.
Remove a +1/+1 counter from Spike Soldier: Spike Soldier gets +2/+2 until end of turn.",4.0,Creature — Spike Soldier
3202,Spirit en-Kor,"Flying
{0}: The next 1 damage that would be dealt to Spirit en-Kor this turn is dealt to target creature you control instead.",4.0,Creature — Kor Spirit
3203,Memory Erosion,"Whenever an opponent casts a spell, that player mills two cards.",3.0,Enchantment
3204,Conduit of Ruin,"When you cast this spell, you may search your library for a colorless creature card with mana value 7 or greater, reveal it, then shuffle and put that card on top.
The first creature spell you cast each turn costs {2} less to cast.",6.0,Creature — Eldrazi
3205,Urza's Chalice,"Whenever a player casts an artifact spell, you may pay {1}. If you do, you gain 1 life.",1.0,Artifact
3206,Exalted Angel,"Flying
Whenever Exalted Angel deals damage, you gain that much life.
Morph {2}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",6.0,Creature — Angel
3207,Benevolent Blessing,"Flash
Enchant creature
As Benevolent Blessing enters the battlefield, choose a color.
Enchanted creature has protection from the chosen color. This effect doesn't remove Auras and Equipment you control that are already attached to it.",2.0,Enchantment — Aura
3208,Lava Axe,Lava Axe deals 5 damage to target player or planeswalker.,5.0,Sorcery
3209,Caravan Vigil,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle.
Morbid — You may put that card onto the battlefield instead of putting it into your hand if a creature died this turn.",1.0,Sorcery
3210,Guiltfeeder,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)
Whenever Guiltfeeder attacks and isn't blocked, defending player loses 1 life for each card in their graveyard.",5.0,Creature — Horror
3211,Harvester Druid,{T}: Add one mana of any color that a land you control could produce.,2.0,Creature — Human Druid
3212,Razor Barrier,Target permanent you control gains protection from artifacts or from the color of your choice until end of turn.,2.0,Instant
3213,Herald of Hoofbeats,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Other Knights you control have horsemanship.",4.0,Creature — Human Knight
3214,Kheru Mind-Eater,"Menace
Whenever Kheru Mind-Eater deals combat damage to a player, that player exiles a card from their hand face down.
You may look at cards exiled with Kheru Mind-Eater, and you may play lands and cast spells from among those cards.",3.0,Creature — Vampire
